"the_geom","NAME","URL","SHAPE_LEN"
"MULTILINESTRING ((-73.80407782212326 40.65849425126405, -73.80462925343615 40.658289878992804))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77901327799465 40.64559565838047, -73.77912293038659 40.64545478623595))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77899670140522 40.64539975783967, -73.77916537683004 40.64524903570092))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77912293038659 40.64545478623595, -73.7792996375864 40.645327026399684))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77916537683004 40.64524903570092, -73.77937749004622 40.6451367966652))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7792996375864 40.645327026399684, -73.77956580869719 40.645202044817545))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77937749004622 40.6451367966652, -73.77944028705441 40.64510760246382))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77944028705441 40.64510760246382, -73.78468021478325 40.64288176182356))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.77956580869719 40.645202044817545, -73.78460058111733 40.643060161682065))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78460058111733 40.643060161682065, -73.78487133363683 40.64290534034563))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78487133363683 40.64290534034563, -73.7851306913789 40.642674713739424))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78468021478325 40.64288176182356, -73.78493820083683 40.64272990885504))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78493820083683 40.64272990885504, -73.78517763362174 40.64252070879345))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7851306913789 40.642674713739424, -73.78561005682765 40.64208835977516))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78517763362174 40.64252070879345, -73.78555384698966 40.64204277415434))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7862250116152 40.6479450531412, -73.78607498390079 40.64802621183356))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78462301036068 40.64837991341437, -73.78419145094111 40.64835261740571))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78459558640456 40.64848037633988, -73.78352048174817 40.64833098931899))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78419145094111 40.64835261740571, -73.78376508362953 40.64825775178396))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78376508362953 40.64825775178396, -73.78198258198988 40.647933328460375))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
